analysis,stage,feature_family,weighting,estimand,estimate,ci_low,ci_high,valid_bootstraps,n_labs,n_participants,n_positive,n_negative,n_within_pairs
eeg_model,NREM,Temporal irreversibility,record,site_macro,0.49080830141084447,0.446207594478858,0.5377621296111356,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,record,within_pair_weighted,0.5081307924467829,0.47342768075590125,0.5419609666679064,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,record,site_macro_fold_conditioned,0.5058206722853004,0.45372458191721143,0.5527122461757781,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,record,within_pair_weighted_fold_conditioned,0.5217307165569065,0.47912692606943535,0.5602666128842807,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,participant_equal,pooled,0.4911941037005961,0.4411428908680154,0.5451957146361167,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,participant_equal,site_macro,0.4962200142442561,0.4507135770833795,0.5432564612918912,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,participant_equal,within_pair_weighted,0.4904247804069878,0.4391959189701092,0.541690403979166,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,participant_equal,site_macro_fold_conditioned,0.5099776603588247,0.45969545544022694,0.5581750758872734,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,participant_equal,within_pair_weighted_fold_conditioned,0.5031991090591653,0.45093916440841875,0.5550620256401817,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,record,pooled,0.563913666121113,0.5112862883785088,0.6163477024865516,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,record,site_macro,0.38628609291715515,0.36517576801759205,0.4123957676386896,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,record,within_pair_weighted,0.4112396837691301,0.38132553824083637,0.44516865922938037,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,record,site_macro_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,record,within_pair_weighted_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,participant_equal,pooled,0.512957304420367,0.4601828996108785,0.5670838488899653,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,participant_equal,site_macro,0.39026917542304146,0.36960016923969263,0.413682583869691,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,participant_equal,within_pair_weighted,0.39576095703852626,0.38004909881430304,0.41548105269700036,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,participant_equal,site_macro_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_record_prevalence,NREM,No EEG features,participant_equal,within_pair_weighted_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,record,pooled,0.5467176759410802,0.4987218592290987,0.5938360510893375,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,record,site_macro,0.3963155773076473,0.37570678876532154,0.4187437952454804,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,record,within_pair_weighted,0.4223204508426591,0.3960271503489747,0.4511838771361925,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,record,site_macro_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,record,within_pair_weighted_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,participant_equal,pooled,0.49968349269500145,0.44735276461289447,0.5546030526198171,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,participant_equal,site_macro,0.38283542316035135,0.35887907381612766,0.4121652845361486,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,participant_equal,within_pair_weighted,0.38969844356842703,0.37048036228622516,0.4121389967300781,2000,4,117,470,260,37441
site_only_participant_prevalence,NREM,No EEG features,participant_equal,site_macro_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
